Station,betweenness_centrality,closeness_centrality,infomation_centrality
New Cross Gate,0.044097744,5.83E-05,0.468236157
Tufnell Park,0.044097744,6.20E-05,0.391709657
Ilford,0.043721805,4.74E-05,0.43966596
Queensway,0.043696742,6.91E-05,0.521726205
South Woodford,0.043596491,4.53E-05,0.439634346
Southwark,0.043295739,7.57E-05,0.594162596
Brondesbury,0.042857143,6.34E-05,0.542437669
West Harrow,0.042794486,4.05E-05,0.465455093
Blackhorse Road,0.042593985,5.33E-05,0.589591887
North Acton,0.042518797,5.28E-05,0.509964932
East Acton,0.041629073,5.53E-05,0.533703206
East Ham,0.040401003,5.17E-05,0.513367379
Brondesbury Park,0.04,6.17E-05,0.540453734
Woodford,0.039323308,4.22E-05,0.412757079
Northwood,0.039298246,3.25E-05,0.347554917
South Quay,0.039298246,6.04E-05,0.305802049
South Kenton,0.039298246,4.31E-05,0.326820633
Boston Manor,0.039298246,4.39E-05,0.309760996
White Hart Lane,0.039298246,5.10E-05,0.455895823
Brockley,0.039298246,5.46E-05,0.408613969
Chalk Farm,0.039298246,6.61E-05,0.466541834
Clapham North,0.039298246,6.05E-05,0.441831887
Archway,0.039298246,5.86E-05,0.340320402
Royal Oak,0.039223058,6.73E-05,0.494292844
Seven Kings,0.039047619,4.36E-05,0.422646631
Hyde Park Corner,0.038508772,7.41E-05,0.563101248
Kensal Rise,0.037606516,5.98E-05,0.58386041
Queen's Park,0.036766917,6.21E-05,0.591758868
North Ealing,0.036403509,4.76E-05,0.478242014
Knightsbridge,0.035827068,7.24E-05,0.550967169
Westbourne Park,0.035213033,6.40E-05,0.439192995
Tower Hill,0.03518797,7.46E-05,0.62133534
Borough,0.035062657,7.30E-05,0.541188834
Moor Park,0.034598997,3.04E-05,0.327782229
Royal Victoria,0.034473684,5.70E-05,0.511223811
Crossharbour,0.034473684,5.84E-05,0.255410621
Kenton,0.034473684,4.07E-05,0.299637916
Manor House,0.034473684,6.28E-05,0.527821809
Osterley,0.034473684,3.96E-05,0.295976945
Silver Street,0.034473684,4.82E-05,0.397718964
Honor Oak Park,0.034473684,5.00E-05,0.374631463
Belsize Park,0.034473684,6.20E-05,0.397724413
Clapham Common,0.034473684,5.83E-05,0.349370706
Highgate,0.034473684,5.38E-05,0.314414421
South Hampstead,0.034448622,6.42E-05,0.624202005
Goodmayes,0.034373434,4.20E-05,0.398940399
Kensal Green,0.033421053,6.00E-05,0.59714213
Elephant & Castle,0.033320802,7.28E-05,0.581108656
Upney,0.033195489,4.45E-05,0.468604496
Kilburn High Road,0.032932331,6.30E-05,0.582370585
Park Royal,0.032243108,4.57E-05,0.45164551
Ladbroke Grove,0.031566416,6.17E-05,0.399325055
Oval,0.030526316,6.66E-05,0.55649027
Edmonton Green,0.029724311,4.57E-05,0.352453097
Chadwell Heath,0.029686717,3.99E-05,0.388291406
Mudchute,0.02962406,5.69E-05,0.210743835
Custom House,0.02962406,5.52E-05,0.385454254
Harrow & Wealdstone,0.02962406,3.81E-05,0.281348426
Hanger Lane,0.02962406,4.69E-05,0.472009114
Turnpike Lane,0.02962406,5.50E-05,0.485137444
Hounslow East,0.02962406,3.82E-05,0.264644687
Forest Hill,0.02962406,4.71E-05,0.335918906
Fulham Broadway,0.02962406,6.10E-05,0.474924695
Hampstead,0.02962406,5.79E-05,0.351762109
Clapham South,0.02962406,5.44E-05,0.315326223
East Finchley,0.02962406,4.93E-05,0.29396334
Wanstead,0.029047619,4.79E-05,0.488717214
Becontree,0.028508772,4.12E-05,0.444975193
Latimer Road,0.02839599,6.01E-05,0.375128302
Wapping,0.028345865,6.87E-05,0.551173406
Alperton,0.028095238,4.26E-05,0.442606581
Pimlico,0.027706767,6.78E-05,0.576788876
Rotherhithe,0.026403509,6.79E-05,0.500591914
Rectory Road,0.026290727,5.80E-05,0.511854781
Romford,0.025827068,3.50E-05,0.385959118
Wood Lane,0.02575188,5.91E-05,0.371664525
Gunnersbury,0.025501253,5.29E-05,0.549144802
Vauxhall,0.024862155,6.48E-05,0.535397688
Tottenham Hale,0.024799499,5.55E-05,0.58460345
Sydenham,0.024799499,4.43E-05,0.307521478
