Station,degree centrality,betweenness centrality,closeness_centrality,infomation_centrality,harmonic_closeness
High Street Kensington,0.0075,0.013199660858495431,0.089988751,0.000526502,34.02983010407535
Pudding Mill Lane,0.005,0.012978207152079346,0.094741829,0.00048859,44.901574436056066
Roding Valley,0.005,0.012537593984962406,0.065854462,0.000281212,25.45421659311041
Newbury Park,0.005,0.012192982456140351,0.065530799,0.000280199,36.36029133326861
Camden Road,0.005,0.011068029923293083,0.088573959,0.0004572,34.44515416667565
Queensway,0.005,0.010836815162003112,0.093479785,0.000486996,56.94972606942447
Poplar,0.01,0.010356309695595412,0.085142614,0.000501982,52.98226319
Holland Park,0.005,0.010159914577207814,0.086994345,0.000503503,34.38326447618617
St. Paul's,0.005,0.010043233082706762,0.10471204188481675,0.000527087,57.63086541511489
Kensal Green,0.005,0.099093613,0.091954023,0.000492684,33.578605578712526
South Kensington,0.0075,0.098554733,0.0968523,0.000521312,26.595645650461126
Camden Town,0.01,0.096478697,0.1,0.000493924,53.049958147288145
Gloucester Road,0.0075,0.096322068,0.092699884,0.000527318,42.27300664016454
Canning Town,0.015,0.096166647,0.091575092,0.00052618,61.63603391792279
Seven Sisters,0.01,0.094604192,0.090702948,0.000495858,27.196244483056827
Victoria,0.01,0.094261921,0.10813733441470667,0.000547104,50.983485298708665
Turnham Green,0.0125,0.09205664,0.078570026,0.00048185,39.570010519498126
Leyton,0.005,0.090714286,0.09539709,0.000474215,49.21447411
Shepherd's Bush,0.01,0.089700541,0.088144557,0.000530703,46.44861314207918
Surrey Quays,0.01,0.087098197,0.089027376,0.000472535,46.48564369926621
Leytonstone,0.0075,0.086610276,0.087796313,0.000404572,43.896996709487134
London Bridge,0.01,0.081345791,0.10400416016640665,0.000557775,41.331083491895946
Acton Town,0.01,0.079122638,0.074266617,0.000458335,46.13647377607086
Hammersmith,0.01,0.076560066,0.079554495,0.000489025,30.90404626104894
Barons Court,0.0075,0.075268444,0.084423808,0.00050374,34.730077023665416
West Brompton,0.01,0.073949552,0.086937622,0.000507169,38.807045869357864
Canary Wharf,0.01,0.073285929,0.089325592,0.000522901,29.19006544811831
Bermondsey,0.005,0.072876358,0.096946195,0.000519095,68.81628590128582
Sloane Square,0.005,0.069248972,0.10185892538833716,0.000508233,51.676634240372834
Farringdon,0.005,0.064110433,0.11074197120708748,0.000524009,35.60192703550217
Angel,0.005,0.064110433,0.11074197120708748,0.000524009,26.009676584693977
Maryland,0.005,0.063973475,0.095192765,0.000478125,28.267285673178012
Barbican,0.005,0.063578895,0.1092001092001092,0.000518615,40.07178708355865
Old Street,0.005,0.063578895,0.1092001092001092,0.000518615,37.04693027253142
Forest Gate,0.005,0.059336884,0.087489064,0.00041682,29.624802576441358
Harlesden,0.005,0.058345865,0.083822297,0.000440372,45.73207076552933
West Hampstead,0.01,0.056885538,0.097489642,0.000518904,32.87416446457064
Kensington,0.0075,0.055068602,0.088613203,0.000520196,33.608029708335344
Oxford Circus,0.015,0.053843935,0.11120378092855157,0.000586185,50.39400380751025
Stonebridge Park,0.005,0.053621554,0.077684987,0.000377671,32.338911091762505
North Harrow,0.005,0.053621554,0.071968334,0.000327124,55.94415222701527
Snaresbrook,0.005,0.050770677,0.08108656,0.000354202,64.68984073912091
Rayners Lane,0.0075,0.04911316,0.069312078,0.000344185,58.26544723336542
West Harrow,0.005,0.048063661,0.072899581,0.00035505,24.380556611501376
Plaistow,0.005,0.047184305,0.089928058,0.000475029,31.673118328069968
South Woodford,0.005,0.046046366,0.075329567,0.000320568,40.292146766875014
Paddington,0.01,0.045840797,0.09699321,0.000523426,49.28941348342232
Euston Square,0.005,0.045462943,0.1068090787716956,0.000529463,39.33903927581088
Shadwell,0.0125,0.045432223,0.10384215991692627,0.000559617,41.46163905
Seven Kings,0.005,0.045427109,0.070397747,0.000322051,26.578912045195157
White City,0.005,0.044672515,0.081933634,0.00046302,41.81632476615397
Great Portland Street,0.005,0.044599674,0.1049042748492001,0.000526221,47.63138334458624
Edgware Road,0.0075,0.044506211,0.10227563283047814,0.000536264,49.40503808047917
Tufnell Park,0.005,0.044097744,0.084033613,0.000359118,19.898351744352798
Bruce Grove,0.005,0.044097744,0.083489877,0.000417065,52.743426606933056
Heron Quays,0.005,0.044097744,0.082321465,0.000436032,28.094955092419955
New Cross Gate,0.005,0.044097744,0.082068117,0.000400441,57.24169423478242
North Wembley,0.005,0.044097744,0.067693349,0.000293444,29.12134836563061
Northfields,0.005,0.044097744,0.065082981,0.000339927,30.465000015738433
Northwood Hills,0.005,0.044097744,0.063311174,0.000261989,44.983143097909725
Kennington,0.01,0.043947256,0.10185892538833716,0.000526193,47.42560883818649
Queens Road Peckham,0.005,0.042131614,0.084799661,0.000430982,45.93932762844478
Woodford,0.0075,0.041729323,0.070335854,0.000297585,30.269120237639935
Barking,0.0075,0.04134763,0.074529532,0.000402352,66.24977774334546
Goodmayes,0.005,0.040790518,0.066093853,0.000305985,41.91940361821078
Gunnersbury,0.0075,0.040638034,0.076687117,0.000452694,36.28131336764978
East Acton,0.005,0.040629073,0.076863951,0.000425814,33.10149173102471
Peckham Rye,0.005,0.039571046,0.081317341,0.000406398,33.48417683781834
Boston Manor,0.005,0.039298246,0.061265124827691836,0.000300769,35.59396960351843
Chalk Farm,0.005,0.039298246,0.091261693,0.000415351,36.574782719934916
Clapham North,0.005,0.039298246,0.084691933,0.000387693,58.59492605908204
Archway,0.005,0.039298246,0.077775617,0.000315696,25.363181671585924
White Hart Lane,0.005,0.039298246,0.077309625,0.000359621,43.39521760339853
South Quay,0.005,0.039298246,0.076306753,0.000373635,44.05880042580491
Brockley,0.005,0.039298246,0.076089024,0.000347192,43.19862817052394
South Kenton,0.005,0.039298246,0.063572791,0.000263796,45.10111341814752
Northwood,0.005,0.039298246,0.059692583,0.000238098,45.43933204308612
East Ham,0.005,0.039104523,0.078600904,0.000410665,46.43906337668575
Clapham Junction,0.005,0.038831578,0.079412349,0.000418868,39.867187118269214
South Acton,0.005,0.036922047,0.079270709,0.000449311,22.93223668378435
Bethnal Green,0.0075,0.03690394,0.10070493454179255,0.000542328,47.57563568033368
Clapham High Street,0.005,0.036599749,0.077594568,0.000392102,24.86428671610031
Chadwell Heath,0.005,0.036216583,0.062334424,0.000294548,55.87086408
Moor Park,0.0075,0.034598997,0.056449336720293536,0.000218105,48.07309228700752
Tottenham Hale,0.005,0.034422995,0.084228259,0.000467746,38.18854508950328
Hyde Park Corner,0.005,0.033526729,0.1072961373390558,0.000511517,48.010467910815414
Romford,0.0075,0.032773601,0.059058024509080174,0.00028688,25.008631581181593
Ealing Common,0.0075,0.031209104,0.070163129,0.000438994,22.758086584970943
Harrow & Wealdstone,0.005,0.02962406,0.056625141562853906,0.000219163,57.63086541511488
Turnpike Lane,0.005,0.02962406,0.082101806,0.000373555,24.537037671328946
Fulham Broadway,0.005,0.02962406,0.080192462,0.000423957,27.876969245501908
Custom House,0.005,0.02962406,0.077821012,0.000374183,53.297787161463575
Hampstead,0.005,0.02962406,0.077594568,0.000314505,56.379929944085916
Clapham South,0.005,0.02962406,0.072793449,0.000298386,42.10100579095917
Hanger Lane,0.005,0.02962406,0.067911715,0.000352433,48.60936972279776
East Finchley,0.005,0.02962406,0.067624683,0.000253833,32.516933784024076
Mudchute,0.005,0.02962406,0.066511473,0.000289989,51.604517401056896
Forest Hill,0.005,0.02962406,0.066345994,0.000273804,53.877465210901015
Hounslow East,0.005,0.02962406,0.054787015,0.000244092,25.395082717118218
Brondesbury Park,0.005,0.029603349,0.088183422,0.000466586,40.15941948189577
Canonbury,0.0075,0.027231885,0.099576799,0.000512237,61.1688309
London Fields,0.005,0.025732837,0.086843248,0.000456815,42.23743387316697
Finchley Central,0.0075,0.024799499,0.063451777,0.000231021,36.12487024064871
Sydenham,0.0075,0.024799499,0.062324712,0.000247448,28.04735952
Walthamstow Central,0.0075,0.023409797,0.078415997,0.000436094,21.612939908582828
Hampstead Heath,0.005,0.017553776,0.086169754,0.00045925,26.67445436988947
Park Royal,0.005,0.017551418,0.062972292,0.000371001,28.50810365902869
Bayswater,0.005,0.016191515,0.091932889,0.000503479,39.853636198309246
Mile End,0.01,0.015602445,0.096084554,0.000550721,47.50204992376068
Sudbury Town,0.005,0.015384045,0.061795149080797154,0.000342193,29.374373734480077
Leytonstone High Road,0.005,0.013446001,0.072098053,0.000386141,46.70853377699982
Woodgrange Park,0.005,0.01324007,0.071594774,0.000386917,57.20466069448293
Dagenham East,0.005,0.012843567,0.058419746,0.000301271,42.82478501
Wanstead Park,0.005,0.012800638,0.071326676,0.000381779,32.00948859821627
Upper Holloway,0.005,0.012529209,0.080499094,0.000432144,29.73127885633799
Chalfont & Latimer,0.0075,0.009987469,0.048396854,0.000173492,50.54813212
Southgate,0.005,0.009974937,0.062111801242236024,0.000235572,31.47641092831577
Colindale,0.005,0.009974937,0.059497248252268334,0.000210633,39.64137545767388
Debden,0.005,0.009974937,0.058258083309059135,0.000220294,32.215453311974755
