Station,betweenness centrality,closeness_centrality,infomation_centrality
Oxford Circus,0.1573057644110276,7.871393984955553e-05,0.6780485907392345
Warren Street,0.049160401002506265,7.723938707541324e-05,0.6259660703501797
Euston,0.15513784461152882,7.720226357826612e-05,0.6456797203160136
Highbury & Islington,0.12332080200501254,7.413185180766076e-05,0.6774695758390546
Finsbury Park,0.09637844611528823,6.731179271257257e-05,0.6453130488249366
Seven Sisters,0.07972431077694236,5.827504984753548e-05,0.6281907249270526
Tottenham Hale,0.02479949874686717,5.547541793377059e-05,0.5846034495677865
Blackhorse Road,0.04259398496240602,5.3284306420482954e-05,0.589591886628265
Walthamstow Central,0.023233082706766918,5.221448209270728e-05,0.5489264574323168
Harrow & Wealdstone,0.02962406015037594,3.8066672051960405e-05,0.2813484263013739
Kenton,0.034473684210526316,4.0743396991784836e-05,0.2996379164246994
South Kenton,0.03929824561403509,4.3086967433250826e-05,0.3268206328863863
North Wembley,0.04409774436090226,4.4817107880833445e-05,0.37729038309561663
Wembley Central,0.048872180451127824,4.7553745228535827e-05,0.4223223673037233
Stonebridge Park,0.05362155388471178,5.154387706644852e-05,0.4657085330763756
Harlesden,0.05834586466165414,5.558036211148132e-05,0.527681757322137
Willesden Junction,0.08882205513784462,5.911395614051342e-05,0.6376758429803335
Kensal Green,0.03342105263157895,5.9974704193692045e-05,0.597142129899854
Queen's Park,0.03676691729323309,6.20995776633474e-05,0.5917588684283518
Kilburn Park,0.005651629072681704,6.193033732609125e-05,0.5177137665022028
Maida Vale,0.008922305764411028,6.415391969230072e-05,0.498643193008645
Warwick Avenue,0.013258145363408523,6.708374323480552e-05,0.5224005034696911
Marylebone,0.0,7.458727901110392e-05,0.543167754081273
Regent's Park,0.07051378446115289,7.559246263047149e-05,0.6133790621912666
Piccadilly Circus,0.0506265664160401,7.829530180346328e-05,0.6337791391914204
Charing Cross,0.05941102756892231,7.828606748269127e-05,0.566036287759743
Embankment,0.059448621553884716,7.797592105364176e-05,0.6246843637127651
Lambeth North,0.002644110275689223,7.365982363522568e-05,0.5562932210572573
Elephant & Castle,0.033320802005012536,7.280366154246661e-05,0.581108655541992
West Acton,0.008947368421052633,4.940173228385939e-05,0.505846935923276
Ealing Broadway,0.006967418546365915,4.715562242422941e-05,0.5129748887780343
North Acton,0.042518796992481206,5.2795438909877056e-05,0.5099649318932288
West Ruislip,0.0,3.112901601020999e-05,0.2808963733867597
Ruislip Gardens,0.005,3.332744515628169e-05,0.29654124413648514
South Ruislip,0.009974937343358397,3.433350893803206e-05,0.3419890628114612
Northolt,0.014924812030075188,3.7270074509704424e-05,0.36309504094722467
Greenford,0.019849624060150377,3.992877308219202e-05,0.39401472160023576
Perivale,0.024749373433583962,4.258198955380586e-05,0.436100116288024
Hanger Lane,0.02962406015037594,4.691412562838469e-05,0.4720091140853608
East Acton,0.041629072681704266,5.525060572700363e-05,0.5337032060323929
White City,0.04546365914786968,6.0136888011666914e-05,0.562601444835238
Shepherd's Bush,0.07132832080200502,6.434088449186577e-05,0.6366122155647915
Holland Park,0.049498746867167924,6.60495798492418e-05,0.569730571317884
Notting Hill Gate,0.06481203007518797,6.860044598171509e-05,0.607125214475155
Queensway,0.043696741854636595,6.906125663880226e-05,0.5217262046435458
Lancaster Gate,0.045626566416040105,7.104325967807287e-05,0.5185180657644732
Marble Arch,0.048395989974937347,7.448062827587408e-05,0.5432472596296504
Tottenham Court Road,0.06984962406015038,7.886465226197648e-05,0.6256741129415175
Holborn,0.08421052631578947,7.922877733385232e-05,0.6113003732919036
Chancery Lane,0.06942355889724311,7.821606624379902e-05,0.5554583065095625
St. Paul's,0.06840852130325815,7.712370104167678e-05,0.5851605892044951
Bethnal Green,0.06218045112781955,7.044009376780653e-05,0.6632100299701785
Leyton,0.09071428571428572,5.6333862887513034e-05,0.6209418407474818
Leytonstone,0.08654135338345866,5.19176542680469e-05,0.5468594606634147
Snaresbrook,0.04830827067669173,4.802004585702055e-05,0.4894067179012301
South Woodford,0.043596491228070175,4.532600331958474e-05,0.4396343461443682
Woodford,0.03932330827067669,4.22465747118508e-05,0.4127570789324578
Buckhurst Hill,0.019849624060150377,3.8533229158550316e-05,0.38605766226132654
Loughton,0.014924812030075188,3.602959307697266e-05,0.3565822074092917
Debden,0.009974937343358397,3.357799609298065e-05,0.3336794198930628
Theydon Bois,0.005,3.0231120441371624e-05,0.3208836201876444
Epping,0.0,2.801330998073036e-05,0.3059626846331558
Wanstead,0.029047619047619048,4.791662660227682e-05,0.4887172140497543
Redbridge,0.024210526315789474,4.543914368727572e-05,0.4334605426140913
Gants Hill,0.0193734335839599,4.270345551303431e-05,0.40350773125391454
Newbury Park,0.014598997493734337,3.8961449372553676e-05,0.3896370354568252
Barkingside,0.009887218045112783,3.741185819541376e-05,0.36944579577846676
Fairlop,0.005175438596491228,3.5933349059967525e-05,0.3589850327503496
Hainault,0.0004511278195488722,3.489494909406747e-05,0.35667951284833055
Grange Hill,0.0005012531328320802,3.517575571847732e-05,0.36399283123293436
Chigwell,0.005338345864661654,3.685882794608764e-05,0.37672463688923996
Roding Valley,0.010175438596491228,3.997249476077516e-05,0.38809396818078773
South Kensington,0.12911027568922306,6.980345376614725e-05,0.5927098952021917
Sloane Square,0.09442355889724312,7.112486130499913e-05,0.5892118256023935
Gloucester Road,0.12724310776942357,6.834411753832052e-05,0.6040909005851817
High Street Kensington,0.009360902255639098,6.677601428138701e-05,0.6105826395952685
Bayswater,0.021528822055137845,6.770654376047113e-05,0.5634332374787739
St. James's Park,0.08476190476190476,7.420781387976778e-05,0.5671327066800559
Temple,0.014837092731829574,7.642515032749148e-05,0.5034174674936863
Blackfriars,0.01387218045112782,7.560126333071544e-05,0.4381095976695695
Mansion House,0.014022556390977443,7.582243495015846e-05,0.4031983547086993
Cannon Street,0.015313283208020051,7.617988418728664e-05,0.4397106773763858
Tower Hill,0.03518796992481203,7.456045936173142e-05,0.6213353397899949
Earl's Court,0.14352130325814538,6.655294304238733e-05,0.6295468430317789
Barons Court,0.09041353383458647,6.215875748092606e-05,0.5893210717835988
Turnham Green,0.10760651629072682,5.611656119011011e-05,0.5733886765839608
Acton Town,0.09152882205513785,5.144927858461945e-05,0.5563135931803924
South Ealing,0.048872180451127824,4.661395127458557e-05,0.506160714592518
Knightsbridge,0.035827067669172936,7.235996312379739e-05,0.5509671694322957
Hyde Park Corner,0.03850877192982456,7.407528245308985e-05,0.5631012479174234
Leicester Square,0.0237593984962406,7.83351313896446e-05,0.5811733979746784
Covent Garden,0.01586466165413534,7.805467033082791e-05,0.5117910161006897
Russell Square,0.015513784461152882,7.777699068857203e-05,0.5971218184042035
Caledonian Road,0.07027568922305764,7.029279446327785e-05,0.6226721200858835
Holloway Road,0.06786967418546366,6.889260783978827e-05,0.5247392583365116
Arsenal,0.06583959899749374,6.768364342545352e-05,0.5401237804741922
Manor House,0.034473684210526316,6.277263496749938e-05,0.5278218090916899
Turnpike Lane,0.02962406015037594,5.501551070718338e-05,0.48513744408685505
Wood Green,0.024749373433583962,5.2405661139491295e-05,0.40335824955532906
Bounds Green,0.019849624060150377,4.865360595488955e-05,0.3651083536727222
Arnos Grove,0.014924812030075188,4.5695465969510585e-05,0.33012985957466096
Southgate,0.009974937343358397,4.194909102226603e-05,0.30972296857817455
Oakwood,0.005,3.892556660360673e-05,0.2905719391236888
Cockfosters,0.0,3.69950401815178e-05,0.2674959963012794
South Harrow,0.019761904761904762,3.801272967427163e-05,0.4404799343428235
Sudbury Hill,0.021077694235588973,3.8617421482235005e-05,0.4359018580560873
Sudbury Town,0.02423558897243108,4.031221689783056e-05,0.4368662115777046
Alperton,0.028095238095238097,4.255862407505268e-05,0.4426065810975419
Park Royal,0.03224310776942356,4.565666240553715e-05,0.4516455103169717
North Ealing,0.03640350877192983,4.764230679556729e-05,0.47824201374621117
Ealing Common,0.04507518796992482,4.945303537740409e-05,0.5345823380256749
Heathrow Terminal 4,0.0,3.0328102089912033e-05,0.2074156840748224
Hatton Cross,0.014924812030075188,3.215269641078708e-05,0.2125458902093449
Heathrow Terminals 2 & 3,0.005,2.9854383935560955e-05,0.20783320589095364
Hounslow West,0.019849624060150377,3.5276829915606336e-05,0.21907335824178165
Hounslow Central,0.024749373433583962,3.717274528486856e-05,0.23254054935064508
Hounslow East,0.02962406015037594,3.8202555344194294e-05,0.26464468664532703
Osterley,0.034473684210526316,3.961929637720945e-05,0.2959769451064488
Boston Manor,0.03929824561403509,4.390683578213815e-05,0.3097609956387412
Northfields,0.04409774436090226,4.569501184358417e-05,0.3550083885728129
Heathrow Terminal 5,0.0,2.782027161923324e-05,0.20104298033655355
Cambridge Heath,0.058070175438596494,6.72352953015547e-05,0.5602850378909373
London Fields,0.05411027568922306,6.389951387777584e-05,0.5309828226465125
Hackney Downs,0.050751879699248124,6.116156913219674e-05,0.5402809917661502
Rectory Road,0.026290726817042608,5.799716967246185e-05,0.5118547809718936
Stoke Newington,0.024411027568922307,5.69443924550063e-05,0.5157132872546134
Stamford Hill,0.02454887218045113,5.728527104158186e-05,0.5498603717516309
Bruce Grove,0.04409774436090226,5.426229994885569e-05,0.5325242767689632
White Hart Lane,0.03929824561403509,5.104421679954324e-05,0.4558958230513666
Silver Street,0.034473684210526316,4.820257153545712e-05,0.397718963924112
Edmonton Green,0.029724310776942358,4.5651103056691335e-05,0.35245309671838565
Southbury,0.014924812030075188,4.0283965068587734e-05,0.3367503639692521
Turkey Street,0.009974937343358397,3.637477719733109e-05,0.320947968898399
Theobalds Grove,0.005,3.354146270796847e-05,0.30437312256687993
Cheshunt,0.0,3.18981111896615e-05,0.2821223028508754
Enfield Town,0.0,3.9672684705491783e-05,0.3004351816193665
Bush Hill Park,0.005,4.201166354509798e-05,0.3284185115776404
Emerson Park,0.002368421052631579,3.20441510369555e-05,0.383284155581734
Upminster,0.0015789473684210526,3.062193329952954e-05,0.3814005520621193
Clapton,0.016842105263157894,5.644817522243786e-05,0.5247082231231609
St James Street,0.014172932330827068,5.225214757044519e-05,0.5236147317891808
Wood Street,0.009974937343358397,4.877479308407247e-05,0.4738122812099188
Highams Park,0.005,4.336092251411508e-05,0.44160546084225577
Chingford,0.0,3.858774542831889e-05,0.4159765886532098
Richmond,0.0,4.378890968567887e-05,0.4488230544598942
Kew Gardens,0.005,4.8369622874307305e-05,0.4892322056775742
Gunnersbury,0.02550125313283208,5.288973136037496e-05,0.549144802258375
South Acton,0.014586466165413535,5.1593378595660246e-05,0.5536037034187923
Kilburn High Road,0.032932330827067674,6.304623821889991e-05,0.5823705854733867
Acton Central,0.01481203007518797,5.199050731512675e-05,0.6034575621987013
Kensal Rise,0.03760651629072682,5.9751280239308075e-05,0.5838604102344758
Brondesbury Park,0.04,6.172080685790639e-05,0.5404537337859421
Brondesbury,0.04285714285714286,6.338613696572287e-05,0.5424376687946105
Finchley Road & Frognal,0.0743984962406015,6.44246988317505e-05,0.5293058286553072
Hampstead Heath,0.07360902255639099,6.327552846770716e-05,0.5244104219940138
Gospel Oak,0.08142857142857143,6.36910676088604e-05,0.5453494832047797
Kentish Town West,0.061027568922305764,6.458851894077043e-05,0.5228791679299349
Camden Road,0.06322055137844612,6.619741737239027e-05,0.5351514755182802
Caledonian Road & Barnsbury,0.0662531328320802,7.126800618750863e-05,0.5593813177305507
Canonbury,0.10042606516290727,7.219229024826129e-05,0.6043151767613704
Dalston Kingsland,0.07853383458646616,6.863035339786628e-05,0.5578944132670783
Hackney Central,0.07582706766917294,6.567088833564418e-05,0.5460441507196235
Homerton,0.07382205513784461,6.384365116375802e-05,0.5671851505234451
Hackney Wick,0.07271929824561404,6.273176025821892e-05,0.6164758501753935
Wapping,0.028345864661654136,6.867385393708497e-05,0.5511734058743905
Rotherhithe,0.026403508771929825,6.788346454445806e-05,0.5005919135546066
Surrey Quays,0.07204260651629073,6.593363134707017e-05,0.5121238685381594
New Cross Gate,0.04409774436090226,5.831038589188488e-05,0.4682361573751445
Shoreditch High Street,0.018007518796992483,6.897942791141212e-05,0.5659355054229447
New Cross,0.0,5.7215036358807465e-05,0.47061883297491997
Sydenham,0.02479949874686717,4.4269329736740224e-05,0.3075214777965045
Crystal Palace,0.0,4.071019680734152e-05,0.28957480420012083
Queens Road Peckham,0.015313283208020051,5.7568386359845106e-05,0.49741260359683087
Peckham Rye,0.01243107769423559,5.543698340165481e-05,0.4785360557326238
Denmark Hill,0.00987468671679198,5.342259013552346e-05,0.47372547115376296
Clapham High Street,0.0087468671679198,5.11612895783626e-05,0.47446324955126656
Wandsworth Road,0.012268170426065164,5.1372709933518855e-05,0.5065062674756377
Clapham Junction,0.011704260651629073,5.384725178366686e-05,0.5206939022023005
West Brompton,0.0537218045112782,6.454214892620384e-05,0.5899370323303068
Imperial Wharf,0.015125313283208021,5.878282314440833e-05,0.5443338560621782
South Hampstead,0.034448621553884715,6.419476700355965e-05,0.6242020047051888
Bushey,0.009974937343358397,2.9825052925854217e-05,0.22382782720414343
Watford High Street,0.005,2.8708231979311696e-05,0.20965231126153183
Carpenders Park,0.014924812030075188,3.1655098508180936e-05,0.23438483323216663
Hatch End,0.019849624060150377,3.4258321202194463e-05,0.24356757808474716
Headstone Lane,0.024749373433583962,3.562565203147656e-05,0.2656406527636862
Watford Junction,0.0,2.7597094713675362e-05,0.19787929083507788
Upper Holloway,0.024385964912280702,5.793695438934666e-05,0.5300007543990243
Crouch Hill,0.020451127819548873,5.4900903932541584e-05,0.5253452134461012
Harringay Green Lanes,0.016729323308270677,5.1705462459988226e-05,0.538237711596372
South Tottenham,0.015639097744360904,5.036029829747391e-05,0.5610214055769775
Walthamstow Queens Road,0.020789473684210528,5.0011141401346726e-05,0.5420746184313691
Leyton Midland Road,0.0175062656641604,4.749315505651641e-05,0.518192705211317
Leytonstone High Road,0.015175438596491229,4.628810168094478e-05,0.499935628334048
Wanstead Park,0.013659147869674187,4.498013158815976e-05,0.49713960462973966
Woodgrange Park,0.013333333333333334,4.4660360193055527e-05,0.5045680903425488
Brockley,0.03929824561403509,5.456603845116951e-05,0.40861396892861734
Honor Oak Park,0.034473684210526316,5.001081309739732e-05,0.3746314631949947
Forest Hill,0.02962406015037594,4.714126242006174e-05,0.3359189060303181
Penge West,0.014924812030075188,4.209902589296849e-05,0.2790662341674406
Anerley,0.009974937343358397,4.093814898039607e-05,0.24024187656998197
Norwood Junction,0.005,3.815035620214233e-05,0.2281430490412456
West Croydon,0.0,3.431671218142315e-05,0.2212813703156654
Dalston Junction,0.017631578947368422,6.82508828660611e-05,0.5503088510380265
Haggerston,0.016215538847117794,6.709651550062339e-05,0.5126069933159868
Hoxton,0.01617794486215539,6.703575508354706e-05,0.5231297203266987
Kensington,0.01842105263157895,6.282411943894938e-05,0.6182611998421245
Battersea Park,0.0,4.847043700954937e-05,0.4318194455341093
West Kensington,0.0,6.371561806861363e-05,0.5406992189901949
Ravenscourt Park,0.0037468671679197997,5.827798398257771e-05,0.485610843486478
Stamford Brook,0.0011904761904761906,5.707039522439773e-05,0.4737022896347753
Chiswick Park,0.0,5.400283929262682e-05,0.5205946709155092
Wimbledon,0.0,4.2171728732327764e-05,0.23814732897978078
Wimbledon Park,0.005,4.532919988799906e-05,0.252645143352657
Southfields,0.009974937343358397,4.8282550548805e-05,0.272767449947953
East Putney,0.014924812030075188,5.235340485758883e-05,0.29206279533457674
Putney Bridge,0.019849624060150377,5.536809279981596e-05,0.32758386005301876
Parsons Green,0.024749373433583962,5.851758702748388e-05,0.37601521190264003
Fulham Broadway,0.02962406015037594,6.095381981045952e-05,0.4749246950254852
Upney,0.033195488721804514,4.447232718756503e-05,0.4686044958788847
Becontree,0.028508771929824563,4.11746293566452e-05,0.4449751927879958
Dagenham Heathway,0.023834586466165413,3.9035642298904575e-05,0.42071818985215154
Dagenham East,0.019160401002506267,3.729885761723539e-05,0.40168132537825685
Elm Park,0.014486215538847118,3.453908641195357e-05,0.39404122333888325
Hornchurch,0.009824561403508772,3.2902969446553576e-05,0.38602143859858473
Upminster Bridge,0.005162907268170426,3.170932987544713e-05,0.3811011694686256
Edgware,0.0,3.6868221505507635e-05,0.22931275231008394
Burnt Oak,0.005,3.9048297954806664e-05,0.24401966112993445
Colindale,0.009974937343358397,4.1130751687293344e-05,0.26356421104240196
Hendon Central,0.014924812030075188,4.507119449692562e-05,0.2769596783839607
Brent Cross,0.019849624060150377,4.7453326925347194e-05,0.30637658931664463
Golders Green,0.024749373433583962,5.104035794483099e-05,0.3326805901019998
Hampstead,0.02962406015037594,5.789630319120134e-05,0.3517621087196116
Belsize Park,0.034473684210526316,6.198645156713087e-05,0.3977244127064063
Chalk Farm,0.03929824561403509,6.607902332921186e-05,0.4665418343790482
Camden Town,0.09647869674185464,7.051258892797367e-05,0.5688192000829604
Angel,0.002130325814536341,7.583744478225851e-05,0.6125438741693496
Old Street,0.0019924812030075187,7.4801308308939e-05,0.5947115702860446
Borough,0.03506265664160401,7.302524441849556e-05,0.5411888336784476
Kennington,0.044824561403508774,7.060333938705272e-05,0.6347512163533209
Oval,0.030526315789473686,6.659115665059617e-05,0.5564902702407918
Clapham North,0.03929824561403509,6.045819766272534e-05,0.4418318872651508
Clapham Common,0.034473684210526316,5.8278437711423164e-05,0.34937070572331885
Clapham South,0.02962406015037594,5.443476812273425e-05,0.31532622260765036
Balham,0.024749373433583962,5.1253199001887965e-05,0.2854649642333188
Tooting Bec,0.019849624060150377,4.8865897293664616e-05,0.25614570691119953
Tooting Broadway,0.014924812030075188,4.6467793504828814e-05,0.234212034593607
Colliers Wood,0.009974937343358397,4.3889188511017986e-05,0.21842940744675612
South Wimbledon,0.005,4.191991643215038e-05,0.20217289795150586
Morden,0.0,3.939427072757196e-05,0.1920677156481123
Finchley Central,0.02479949874686717,4.424711297125556e-05,0.2804354934838163
Mill Hill East,0.0,4.146157074010153e-05,0.26123258259523086
High Barnet,0.0,3.471943403939869e-05,0.21170118918179415
Totteridge & Whetstone,0.005,3.814437904240654e-05,0.21883082216665553
Woodside Park,0.009974937343358397,4.0403791583687954e-05,0.23250559293916095
West Finchley,0.014924812030075188,4.19894660241417e-05,0.257490469717738
East Finchley,0.02962406015037594,4.927323106867143e-05,0.2939633396392949
