mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
523,854,0.213,1.828,0.9,0.842,0.0,0.254,DLR
523,855,1.183,4.499,0.0,4.585,0.047,0.0,DLR
523,858,3.4880002,10.642,11.568,19.744,0.25800002,3.671,DLR
523,859,0.204,2.085,0.0,0.898,0.0,0.0,DLR
523,860,7.796,33.294,15.224,15.092999,2.783,0.834,DLR
523,861,0.449,6.367,3.127,2.884,0.284,0.0,DLR
523,862,19.536,9.181,4.726,5.916,2.827,0.248,DLR
523,864,1.464,6.694,5.166,3.766,0.0,0.228,DLR
523,865,4.816,12.599,8.227,5.7730002,1.297,0.0,DLR
523,866,0.0,2.385,2.924,1.459,2.177,0.0,DLR
523,867,0.767,4.843,0.758,2.156,0.236,0.0,DLR
523,879,0.282,2.849,5.338,1.6949999,0.478,0.0,DLR
523,882,4.677,0.972,1.642,1.6719999,0.365,0.0,DLR
523,883,1.295,11.911,4.526,0.812,0.724,1.673,DLR
523,884,112.305,224.057,218.582,146.077,53.586,12.73,DLR
523,886,0.0,1.0090001,8.382,7.27,2.547,0.344,DLR
523,887,0.842,0.641,1.914,2.938,0.0,0.0,DLR
523,888,0.0,0.521,2.414,1.967,0.0,0.0,DLR
523,889,11.206,6.646,16.845,5.826,0.536,0.296,DLR
523,890,0.0,1.035,4.52,2.708,0.281,0.0,DLR
523,928,0.0,0.059,0.0,0.008,0.022,0.0,DLR
523,940,0.641,0.75200003,2.099,3.314,0.024,0.0,DLR
533,504,3.518,45.317,55.244,47.625,33.809,0.366,DLR
533,513,22.319,636.216,521.765,386.884,186.626,3.557,DLR
533,523,0.0,15.938,14.516,3.655,1.63,0.357,DLR
533,538,0.604,13.161,20.154,11.057,9.98,0.46,DLR
533,559,0.482,15.628,25.175,5.529,6.253,0.37,DLR
533,573,42.936,187.443,182.128,196.198,142.681,17.583,DLR
533,719,21.068,201.997,263.987,198.873,144.828,6.5750003,DLR
533,749,1.166,20.074,18.273,11.197,10.518,0.0,DLR
533,750,6.613,2.815,7.694,3.205,1.404,0.0,DLR
533,757,6.286,91.97,89.431,79.885,56.939,5.636,DLR
533,842,1.418,28.303,26.7,29.295,11.102,0.675,DLR
533,850,0.0,0.0,2.743,1.722,0.786,0.0,DLR
533,851,1.784,0.94699997,7.367,7.381,3.3470001,0.0,DLR
533,853,0.0,6.977,6.767,3.758,1.602,0.0,DLR
533,854,0.0,2.82,3.4,4.969,5.1740003,0.242,DLR
533,855,1.985,12.241,4.711,2.955,1.426,0.0,DLR
533,856,0.0,0.655,4.1,2.797,2.049,0.20899999,DLR
533,857,0.0,4.538,2.183,4.211,2.473,0.263,DLR
533,858,3.085,50.26,54.277,42.251,17.507,5.206,DLR
533,859,0.0,2.844,1.04,0.64,0.528,0.153,DLR
533,860,3.016,51.936,47.783,51.027,35.27,1.716,DLR
533,861,0.075,7.6280003,6.731,5.611,5.54,0.0,DLR
533,862,1.662,21.491,20.62,23.884,11.715,0.324,DLR
533,864,0.358,67.26,86.018,46.629,25.076,0.375,DLR
533,865,3.866,19.123,24.433,19.543,12.52,0.52099997,DLR
533,866,0.0,3.885,3.3439999,2.243,2.867,0.687,DLR
533,867,0.0,3.219,3.907,1.788,1.923,0.18,DLR
533,879,0.098000005,2.6430001,8.249,6.156,3.205,0.0,DLR
533,882,0.238,5.883,9.0130005,8.525,6.281,0.0,DLR
533,883,0.206,6.932,7.572,6.52,7.048,2.905,DLR
533,884,36.453,491.076,826.898,525.33203,471.742,17.816,DLR
533,886,0.36,4.385,9.824,5.782,4.922,0.26,DLR
533,887,0.0,2.833,3.354,2.463,1.062,0.0,DLR
533,888,0.185,1.19,2.5180001,2.385,1.319,0.545,DLR
533,889,1.067,8.4,5.927,1.721,0.984,0.487,DLR
533,890,0.311,1.102,2.485,1.021,0.379,0.0,DLR
533,895,0.184,0.59,1.665,1.601,2.013,0.0,DLR
533,897,0.499,1.658,5.65,4.949,4.794,0.0,DLR
533,898,0.0,2.26,3.3240001,2.179,1.957,0.0,DLR
533,928,0.0,0.475,1.27,0.209,1.174,0.033,DLR
533,940,0.091,3.569,15.014999,14.464,6.295,0.0,DLR
538,504,6.713,47.554,33.149,13.524,5.864,0.793,DLR
538,513,64.977,565.232,137.267,116.265,19.013,6.083,DLR
538,523,0.551,20.386,6.175,3.064,0.198,0.184,DLR
538,533,8.543,22.613,18.537,8.4539995,2.46,0.011,DLR
538,559,0.202,1.144,1.592,1.893,0.336,0.315,DLR
538,573,14.116,61.574,74.729,92.232,21.406,8.4210005,DLR
538,719,26.558,240.437,166.568,163.611,37.858,12.46,DLR
538,749,2.869,21.63,9.302,8.581,3.506,6.5509996,DLR
538,750,0.866,0.945,4.287,4.209,0.062,0.374,DLR
538,757,9.264,123.954,51.052002,98.87,15.26,4.157,DLR
538,842,9.114,52.586998,18.055,19.156,3.9720001,0.296,DLR
538,850,0.496,1.892,0.194,2.354,0.184,0.0,DLR
538,851,1.974,1.763,2.358,1.853,1.076,0.182,DLR
538,853,0.0,3.656,2.603,0.98,0.35,0.0,DLR
538,854,0.0,2.66,3.238,1.732,0.459,0.242,DLR
538,855,0.0,19.696,2.326,4.5230002,0.0,0.0,DLR
538,856,0.0,5.953,0.814,0.608,0.0,0.0,DLR
538,857,0.0,3.049,2.11,0.591,0.376,0.0,DLR
538,858,8.981,74.062996,48.47,50.381,12.586,0.673,DLR
538,859,0.84499997,0.64,1.3840001,1.403,0.029,0.0,DLR
