mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
6872,6888,0.0,153.302,568.362,154.71,104.132,24.894,4.221,0.0,EZL
6872,6893,0.0,0.297,4.842,5.79,11.908,2.137,2.201,0.0,EZL
6872,6965,6.438,228.227,532.815,112.721,52.757,9.298,4.292,0.0,EZL
6872,6970,0.017,0.579,2.651,4.813,4.077,2.253,0.31,0.0,EZL
6874,719,0.0,766.745,2112.292,888.012,445.659,144.27,34.445,0.0,EZL
6874,6872,0.0,3.689,118.683,11.372,12.6189995,4.329,0.698,0.0,EZL
6874,6876,0.0,12.95,53.978,28.947,13.125,11.244,1.753,0.0,EZL
6874,6877,0.0,1.856,29.495,12.1189995,15.004,6.968,0.833,0.0,EZL
6874,6878,0.0,0.577,11.126,8.791,5.8589997,5.74,0.668,0.0,EZL
6874,6879,0.0,7.297,47.923,20.834,18.756,7.556,1.773,0.0,EZL
6874,6881,0.0,19.516,84.612,73.081,45.75,12.258,2.714,0.0,EZL
6874,6883,0.0,14.64,44.778,29.428999,22.696,13.765,1.484,0.0,EZL
6874,6886,0.0,12.233,97.348,101.27,48.891,15.611,2.2549999,0.0,EZL
6874,6888,0.0,2.716,17.409,4.53,3.198,1.535,0.16,0.0,EZL
6874,6893,0.0,2.308,29.003,6.763,10.588,4.35,0.953,0.0,EZL
6874,6965,0.0,448.256,1233.895,272.855,116.811,40.727,15.171,0.0,EZL
6874,6970,0.0,15.406,38.34,24.855,7.63,5.797,1.242,0.0,EZL
6876,719,0.0,532.832,1384.723,1096.729,646.002,207.664,38.687,0.0,EZL
6876,6872,0.0,1.209,6.189,3.965,2.291,2.606,0.68299997,0.002,EZL
6876,6874,0.0,2.775,24.24,25.043,46.847,17.306,5.342,0.0,EZL
6876,6877,0.0,1.501,8.877,8.6,16.142,3.92,1.124,0.0,EZL
6876,6878,0.0,5.272,29.954,29.301,37.517,17.376,4.386,0.0,EZL
6876,6879,0.0,2.572,13.586,10.538,3.785,8.311,2.557,0.003,EZL
6876,6881,0.0,12.196,58.988,81.149,83.644,31.699,4.07,0.0,EZL
6876,6883,0.0,1.918,8.321,16.82,9.562,7.574,1.541,0.0,EZL
6876,6886,0.0,7.2539997,68.284,46.011,50.025,15.53,3.565,0.0,EZL
6876,6888,0.0,0.558,0.985,0.86,0.065000005,0.063,0.397,0.006,EZL
6876,6893,0.0,1.042,31.595,15.976,36.433,17.312,6.321,0.0,EZL
6876,6965,0.0,271.874,771.987,298.69,141.181,48.978,12.923,0.0,EZL
6876,6970,0.0,0.902,5.14,23.07,10.634,4.568,0.62,0.0,EZL
6877,719,12.387,446.083,1415.236,423.881,204.982,45.017,8.041,0.0,EZL
6877,6872,0.0,1.68,74.209,13.619,15.837,7.852,1.597,0.0,EZL
6877,6874,0.0,4.919,20.368,13.651,15.917,5.124,1.839,0.0,EZL
6877,6876,0.0,7.713,21.986,9.379,10.022,3.504,1.684,0.0,EZL
6877,6878,0.0,2.953,15.751,12.003,12.245,3.509,1.1700001,0.0,EZL
6877,6879,0.0,0.0,8.769,9.851,6.252,2.735,0.326,0.0,EZL
6877,6881,0.0,11.758,59.449,32.483,28.689,4.9,2.243,0.0,EZL
6877,6883,0.0,13.16,10.758,17.569,12.043,4.263,1.879,0.0,EZL
6877,6886,2.104,2.939,42.231,51.341,17.774,5.968,0.547,0.0,EZL
6877,6888,0.0,2.669,56.583,5.448,8.258,1.352,0.468,0.0,EZL
6877,6893,0.0,0.696,15.177,4.599,7.338,3.187,0.301,0.0,EZL
6877,6965,2.6769998,410.726,1661.909,212.746,83.84,17.128,3.397,0.0,EZL
6877,6970,0.0,2.401,13.653,5.735,3.168,1.372,0.506,0.0,EZL
6878,719,0.0,829.415,1788.944,944.031,486.835,166.248,32.593,0.0,EZL
6878,6872,0.0,2.047,30.758,8.661,7.519,3.5509999,0.88699996,0.0,EZL
6878,6874,0.0,0.20300001,4.342,11.326,13.02,8.198,0.716,0.0,EZL
6878,6876,0.0,5.502,50.099,33.769,19.882,12.136,1.536,0.0,EZL
6878,6877,0.0,0.588,16.031,12.063,8.272,5.367,0.35,0.0,EZL
6878,6879,0.0,2.074,15.575,20.032999,15.133,8.434,1.657,0.0,EZL
6878,6881,0.0,11.925,48.782,90.097,42.795002,17.206,1.318,0.0,EZL
6878,6883,0.0,10.453,29.348,28.121,14.7,13.1970005,2.154,0.0,EZL
6878,6886,0.0,6.369,58.18,68.109,38.05,17.851,1.835,0.0,EZL
6878,6888,0.0,0.754,4.185,2.54,2.366,2.032,0.252,0.0,EZL
6878,6893,0.0,1.136,13.131,5.56,6.64,3.421,0.41,0.0,EZL
6878,6965,0.0,381.242,1040.15,253.77,112.432,27.471,13.7,0.0,EZL
6878,6970,0.0,19.867,24.399,23.703001,9.662,7.363,1.165,0.0,EZL
6879,719,20.431,469.439,1316.705,426.017,252.48,52.847,7.204,0.0,EZL
6879,6872,0.0,3.68,70.748,34.649,25.406,9.21,2.069,0.0,EZL
6879,6874,0.009,1.318,24.222,23.475,26.512,8.709,1.6389999,0.0,EZL
6879,6876,0.033,1.841,23.105,9.938,4.835,3.105,1.652,0.0,EZL
6879,6877,0.0,0.91999996,7.37,7.312,2.309,1.016,0.0,0.0,EZL
6879,6878,0.096,3.3700001,21.515,20.209,11.067,4.443,0.476,0.0,EZL
6879,6881,0.326,12.704,67.165,44.412,29.586,9.217,2.381,0.0,EZL
6879,6883,0.056,2.168,11.907001,16.431,10.306,7.216,1.985,0.0,EZL
6879,6886,10.877,6.74,86.699,106.304,39.325,9.219,0.99,0.0,EZL
6879,6888,0.0,85.51,209.081,65.541,40.727,8.146,1.456,0.0,EZL
6879,6893,0.0,0.156,17.113,3.856,10.528,1.905,0.0,0.0,EZL
6879,6965,2.434,359.675,1130.041,172.995,68.383,15.575,2.029,0.0,EZL
6879,6970,0.034,2.421,6.4519997,8.906,4.443,1.498,0.172,0.0,EZL
6881,719,0.0,1130.917,3080.484,2360.666,1370.366,406.157,78.628,0.0,EZL
